Date,Price($),Open,High,Low,Volume,Change(%)
2022-02-08T00:00:00Z,44038.2,43833.9,45399.8,42705,92880,0.47
2022-02-07T00:00:00Z,43833.9,42385.2,44468.3,41695.4,76600,3.4
2022-02-06T00:00:00Z,42392.2,41411.9,42614.8,41176.3,31200,2.37
2022-02-05T00:00:00Z,41412.1,41566.5,41899.8,40963.3,46320,-0.37
2022-02-04T00:00:00Z,41567.6,37287.8,41689,37041.1,95490,11.48
2022-02-03T00:00:00Z,37287.8,36890.2,37304.3,36297.3,50350,1.08
2022-02-02T00:00:00Z,36890.2,38711.2,38853.8,36682.3,53740,-4.7
2022-02-01T00:00:00Z,38709.7,38475.6,39230,38037.9,55200,0.55
2022-01-31T00:00:00Z,38498.6,37923.8,38701.4,36672.8,61270,1.53
2022-01-30T00:00:00Z,37917.7,38167.5,38313.3,37390.6,34100,-0.66
2022-01-29T00:00:00Z,38170.8,37736.5,38663.7,37350.2,42770,1.13
2022-01-28T00:00:00Z,37745.1,37195.6,37995.9,36176.5,69450,1.56
2022-01-27T00:00:00Z,37164.3,36800.1,37215.4,35543.2,83520,0.99
2022-01-26T00:00:00Z,36800.4,36962.3,38862.6,36280,107870,-0.41
2022-01-25T01:00:00Z,36950.6,36691.3,37501.8,35729.3,79680,0.72
2022-01-24T00:00:00Z,36686.3,36268.6,37424,32985.6,153770,1.15
2022-01-23T00:00:00Z,36269.5,35072.9,36513,34655.2,70430,3.4
2022-01-22T00:00:00Z,35075.2,36467.7,36749.8,34116,138090,-3.8
2022-01-21T00:00:00Z,36475.5,40698.1,41104.6,35503.9,155800,-10.41
2022-01-20T00:00:00Z,40715.9,41683.6,43487.1,40568.3,65280,-2.31
2022-01-19T00:00:00Z,41677.8,42365.3,42558,41160.9,53770,-1.62
2022-01-18T00:00:00Z,42364.6,42209.9,42674.2,41300.7,47320,0.37
2022-01-17T00:00:00Z,42209.3,43080.5,43179.6,41559.4,41440,-2.02
2022-01-16T00:00:00Z,43079.1,43079.2,43462,42643.3,28660,-0.04
2022-01-15T00:00:00Z,43097,43073.6,43777.9,42586.1,31440,0.06
2022-01-14T00:00:00Z,43073.3,42562.2,43435.1,41848.7,50500,1.21
2022-01-13T00:00:00Z,42560,43900,44404.7,42337.5,53420,-3.05
2022-01-12T00:00:00Z,43901,42735,44243.6,42476.7,53950,2.73
2022-01-11T00:00:00Z,42733.2,41829.1,43090.2,41287.6,61780,2.15
2022-01-10T00:00:00Z,41832.2,41848.9,42243.8,39697,85500,-0.04
2022-01-09T00:00:00Z,41848.3,41681.2,42764.4,41260.9,37510,0.42
2022-01-08T00:00:00Z,41672,41551.3,42304.4,40574.3,52540,0.3
2022-01-07T00:00:00Z,41546.7,43097.9,43127.7,40810,88360,-3.6
2022-01-06T00:00:00Z,43097.5,43431.6,43772.3,42481.1,63080,-0.76
2022-01-05T00:00:00Z,43425.9,45833.1,47019.4,42535.1,83740,-5.26
2022-01-04T00:00:00Z,45837.3,46435.7,47505.4,45602.1,55590,-1.28
2022-01-03T00:00:00Z,46430.2,47293.9,47556,45704,41060,-1.86
2022-01-02T00:00:00Z,47311.8,47738.7,47944.9,46718.2,27020,-0.89
2022-01-01T00:00:00Z,47738,46217.5,47917.6,46217.5,31240,3.29
